Artist,Name,Duration,Genre,SongID
Destiny's Child,Independent Women Part I,3:38,Rock,151957
Santana,"Maria, Maria",4:18,Rock,404546
Savage Garden,I Knew I Loved You,4:07,Rock,313814
Madonna,Music,3:45,Rock,306420
"Aguilera, Christina",Come On Over Baby (All I Want Is You),3:38,Rock,275459
Janet,Doesn't Really Matter,4:17,Rock,469540
Destiny's Child,Say My Name,4:31,Rock,302325
"Iglesias, Enrique",Be With You,3:36,Latin,100821
Sisqo,Incomplete,3:52,Rock,189693
Lonestar,Amazed,4:25,Country,474705
N'Sync,It's Gonna Be Me,3:10,Rock,355798
"Aguilera, Christina",What A Girl Wants,3:18,Rock,227072
Vertical Horizon,Everything You Want,4:01,Rock,276605
Creed,With Arms Wide Open,3:52,Rock,498510
Aaliyah,Try Again,4:03,Rock,169691
matchbox twenty,Bent,4:12,Rock,414336
"Carey, Mariah",Thank God I Found You,4:14,Rock,194088
"Hill, Faith",Breathe,4:04,Rap,283629
Mya,Case Of The Ex (Whatcha Gonna Do),3:50,Rock,473379
Dream,He Loves U Not,3:43,Rock,470689
"Braxton, Toni",He Wasn't Man Enough,4:21,Rock,301719
"Anthony, Marc",You Sang To Me,3:50,Latin,361428
98?,Give Me Just One Night (Una Noche),3:24,Rock,256929
Destiny's Child,Jumpin' Jumpin',3:48,Rock,272973
3 Doors Down,Kryptonite,3:53,Rock,367952
Sisqo,Thong Song,4:05,Rock,217633
"Aguilera, Christina",I Turn To You,4:00,Rock,389661
"Houston, Whitney",My Love Is Your Love,4:16,Rock,496317
Joe,I Wanna Know,4:57,Rock,434886
"Jordan, Montell",Get It On.. Tonite,4:34,Rap,132738
N'Sync,Bye Bye Bye,3:15,Rock,305164
Eminem,The Real Slim Shady,4:42,Rap,170531
Pink,Most Girls,4:06,Rock,308598
"Mumba, Samantha",Gotta Tell You,3:19,Rock,361171
Blaque,Bring It All To Me,3:46,Pop,284796
"Elliott, Missy ""Misdemeanor""",Hot Boyz,3:51,Rap,213038
"Gray, Macy",I Try,3:52,Rock,124060
N'Sync,This I Promise You,4:23,Rock,398502
Ruff Endz,No More,3:56,Rock,439298
"Backstreet Boys, The",Show Me The Meaning Of Being Lonely,3:54,Rock,277120
Nine Days,Absolutely (Story Of A Girl),3:09,Rock,403730
