year,Artist,track,time,Genre,released.date,Song.id
2000,Destiny's Child,Independent Women Part I,3:38,Rock,2000/9/23,114771
2000,Santana,"Maria, Maria",4:18,Rock,2000/2/12,459325
2000,Savage Garden,I Knew I Loved You,4:07,Rock,1999/10/23,437989
2000,Madonna,Music,3:45,Rock,2000/8/12,183278
2000,"Aguilera, Christina",Come On Over Baby (All I Want Is You),3:38,Rock,2000/8/5,299169
2000,Janet,Doesn't Really Matter,4:17,Rock,2000/6/17,157921
2000,Destiny's Child,Say My Name,4:31,Rock,1999/12/25,275671
2000,"Iglesias, Enrique",Be With You,3:36,Latin,2000/4/1,109224
2000,Sisqo,Incomplete,3:52,Rock,2000/6/24,278523
2000,Lonestar,Amazed,4:25,Country,1999/6/5,116305
2000,N'Sync,It's Gonna Be Me,3:10,Rock,2000/5/6,327411
2000,"Aguilera, Christina",What A Girl Wants,3:18,Rock,1999/11/27,486940
2000,Vertical Horizon,Everything You Want,4:01,Rock,2000/1/22,416024
2000,Creed,With Arms Wide Open,3:52,Rock,2000/5/13,185065
2000,Aaliyah,Try Again,4:03,Rock,2000/3/18,277010
2000,matchbox twenty,Bent,4:12,Rock,2000/4/29,449761
2000,"Carey, Mariah",Thank God I Found You,4:14,Rock,1999/12/11,117875
2000,"Hill, Faith",Breathe,4:04,Rap,1999/11/6,292820
2000,Mya,Case Of The Ex (Whatcha Gonna Do),3:50,Rock,2000/8/19,273147
2000,Dream,He Loves U Not,3:43,Rock,2000/9/30,439977
2000,"Braxton, Toni",He Wasn't Man Enough,4:21,Rock,2000/3/18,160427
2000,"Anthony, Marc",You Sang To Me,3:50,Latin,2000/2/26,211019
2000,98?,Give Me Just One Night (Una Noche),3:24,Rock,2000/8/19,188446
2000,Destiny's Child,Jumpin' Jumpin',3:48,Rock,2000/5/13,411509
2000,3 Doors Down,Kryptonite,3:53,Rock,2000/4/8,363933
2000,Sisqo,Thong Song,4:05,Rock,2000/1/29,202289
2000,"Aguilera, Christina",I Turn To You,4:00,Rock,2000/4/15,252354
2000,"Houston, Whitney",My Love Is Your Love,4:16,Rock,1999/9/4,484422
2000,Joe,I Wanna Know,4:57,Rock,2000/1/1,459793
2000,"Jordan, Montell",Get It On.. Tonite,4:34,Rap,1999/10/23,336008
2000,N'Sync,Bye Bye Bye,3:15,Rock,2000/1/29,283014
2000,Eminem,The Real Slim Shady,4:42,Rap,2000/5/6,133190
2000,Pink,Most Girls,4:06,Rock,2000/8/12,237951
2000,"Mumba, Samantha",Gotta Tell You,3:19,Rock,2000/9/9,130708
2000,Blaque,Bring It All To Me,3:46,Pop,1999/10/23,252726
2000,"Elliott, Missy ""Misdemeanor""",Hot Boyz,3:51,Rap,1999/11/27,382860
2000,"Gray, Macy",I Try,3:52,Rock,2000/2/19,436662
2000,N'Sync,This I Promise You,4:23,Rock,2000/9/30,370152
2000,Ruff Endz,No More,3:56,Rock,2000/7/1,341601
2000,"Backstreet Boys, The",Show Me The Meaning Of Being Lonely,3:54,Rock,2000/1/1,331626
2000,Nine Days,Absolutely (Story Of A Girl),3:09,Rock,2000/5/6,249323
2000,"Dion, Celine",That's The Way It Is,4:03,Rock,1999/11/13,177366
2000,Blink-182,All The Small Things,2:52,Rock,1999/12/4,297963
2000,Eiffel 65,Blue (Da Ba Dee),3:29,Electronica,1999/12/11,347705
2000,"Badu, Erkyah",Bag Lady,5:03,Rock,2000/8/19,408212
2000,Pink,There U Go,3:23,Rock,2000/3/4,278992
2000,Creed,Higher,5:16,Rock,1999/9/11,371088
2000,Nelly,(Hot S**t) Country Grammar,4:17,Rap,2000/4/29,380318
2000,Next,Wifey,4:03,Rock,2000/5/27,485695
2000,Kenny G,Auld Lang Syne (The Millenium Mix),7:50,Jazz,1999/12/25,195760
2000,Sonique,It Feels So Good,3:48,Rock,2000/1/22,122793
2000,"Spears, Britney",Oops!.. I Did It Again,3:30,Rock,2000/4/22,230598
2000,"Backstreet Boys, The",Shape Of My Heart,3:49,Rock,2000/10/14,177323
2000,Everclear,Wonderful,4:30,Rock,2000/7/8,425415
2000,Ja Rule,Between Me And You,4:05,Rap,2000/9/16,172741
2000,"Rimes, LeAnn",I Need You,3:42,Country,2000/5/27,322561
2000,Smash Mouth,Then The Morning Comes,3:04,Rock,1999/10/30,370938
2000,Jay-Z,I Just Wanna Love U (Give It 2 Me),3:50,Rap,2000/10/28,375490
2000,Jagged Edge,Let's Get Married,4:23,Rock,2000/5/6,423843
2000,Filter,Take A Picture,4:23,Rock,1999/11/27,149190
2000,"Martin, Ricky",She Bangs,4:02,Latin,2000/10/7,150177
2000,Mystikal,Shake Ya Ass,4:46,Rap,2000/8/12,336252
2000,BBMak,Back Here,3:35,Rock,2000/4/29,331547
2000,"Spears, Britney",From The Bottom Of My Broken Heart,4:30,Rock,2000/1/29,387387
2000,Third Eye Blind,Never Let You Go,3:57,Rock,2000/1/22,267169
